INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video
0,2020/06/16,03:54:01,14041,0,0,0,0,0,0,0
1,2020/06/16,03:54:02,14042,0,0,0,0,0,0,0
2,2020/06/16,03:54:03,14043,1,0,0,0,0,0,0
3,2020/06/16,03:54:04,14044,1,0,0,0,0,0,0
4,2020/06/16,03:54:05,14045,1,0,0,0,0,0,0
5,2020/06/16,03:54:06,14046,1,0,0,0,0,0,0
6,2020/06/16,03:54:07,14047,1,0,0,0,0,0,0
7,2020/06/16,03:54:08,14048,1,0,0,0,0,0,0
8,2020/06/16,03:54:09,14049,1,1,0,0,0,0,0
9,2020/06/16,03:54:10,14050,1,1,0,0,0,0,0
10,2020/06/16,03:54:11,14051,1,1,1,0,0,0,0
11,2020/06/16,03:54:12,14052,1,1,1,0,0,1,0
12,2020/06/16,03:54:13,14053,1,1,1,0,0,1,0
13,2020/06/16,03:54:14,14054,1,1,1,0,0,1,0
14,2020/06/16,03:54:15,14055,1,1,1,0,0,1,0
15,2020/06/16,03:54:16,14056,1,0,1,0,0,0,0
16,2020/06/16,03:54:17,14057,1,0,1,0,0,0,0
17,2020/06/16,03:54:18,14058,1,0,1,0,0,0,0
18,2020/06/16,03:54:19,14059,1,0,1,1,0,0,0
19,2020/06/16,03:54:20,14060,1,0,1,1,0,0,0
20,2020/06/16,03:54:21,14061,1,0,1,1,0,0,0
21,2020/06/16,03:54:22,14062,1,0,1,1,0,0,0
22,2020/06/16,03:54:23,14063,1,0,1,1,0,0,0
23,2020/06/16,03:54:24,14064,1,0,1,0,0,0,0
24,2020/06/16,03:54:25,14065,1,0,0,0,0,0,0
25,2020/06/16,03:54:26,14066,1,0,0,0,0,0,0
26,2020/06/16,03:54:27,14067,1,0,0,0,0,0,0
27,2020/06/16,03:54:28,14068,1,0,0,0,0,0,0
