0,2020/06/12,18:43:59,67439,0,0,0,0,0,0,0
1,2020/06/12,18:44:04,67444,0,0,0,0,0,0,0
2,2020/06/12,18:44:09,67449,0,0,0,0,0,0,0
3,2020/06/12,18:44:14,67454,0,0,0,0,0,0,0
4,2020/06/12,18:44:19,67459,0,0,0,0,0,0,0
5,2020/06/12,18:44:24,67464,0,0,0,0,0,0,0
6,2020/06/12,18:44:29,67469,0,0,0,0,0,0,0
7,2020/06/12,18:44:34,67474,0,0,0,0,0,0,0
8,2020/06/12,18:44:39,67479,0,0,0,0,0,0,0
9,2020/06/12,18:44:44,67484,0,0,0,0,0,0,0
10,2020/06/12,18:44:49,67489,0,0,0,0,0,0,0
11,2020/06/12,18:44:54,67494,0,0,0,0,0,0,0
12,2020/06/12,18:44:59,67499,0,0,0,0,0,0,0
13,2020/06/12,18:45:04,67504,0,0,0,0,0,0,0
14,2020/06/12,18:45:09,67509,0,0,0,0,0,0,0
15,2020/06/12,18:45:14,67514,0,0,0,0,0,0,0
16,2020/06/12,18:45:19,67519,0,0,0,0,0,0,0
17,2020/06/12,18:45:24,67524,0,0,0,0,0,0,0
18,2020/06/12,18:45:29,67529,0,0,0,0,0,0,0
19,2020/06/12,18:45:34,67534,0,0,0,0,0,0,0
20,2020/06/12,18:45:39,67539,0,0,0,0,0,0,0
21,2020/06/12,18:45:44,67544,0,0,0,0,0,0,0
22,2020/06/12,18:45:49,67549,0,0,0,0,0,0,0
23,2020/06/12,18:45:54,67554,0,0,0,0,0,0,0
24,2020/06/12,18:45:59,67559,0,0,0,0,0,0,0
25,2020/06/12,18:46:04,67564,0,0,0,0,0,0,0
26,2020/06/12,18:46:09,67569,0,0,0,0,0,0,0
27,2020/06/12,18:46:14,67574,0,0,0,0,0,0,0
28,2020/06/12,18:46:19,67579,0,0,0,0,0,0,0
29,2020/06/12,18:46:24,67584,0,0,0,0,0,0,0
30,2020/06/12,18:46:29,67589,0,0,0,0,0,0,0
